Id:,24167
Estación:,MATLAPA (OBS)-SLP
Posición:,21.3266666667N -98.8472222222W
Variable:,Precipitación (mm)
Fecha Inicial:,05/01/1993
Fecha Final:,01/01/2011
No Dato:,nan
Mes,Día,Anio,Datos
05,01,1993,9.2
05,02,1993,10.9
05,03,1993,0.1
05,04,1993,0.0
05,05,1993,0.0
05,06,1993,0.0
05,07,1993,8.9
05,08,1993,0.1
05,09,1993,0.5
05,10,1993,49.1
05,11,1993,0.0
05,12,1993,0.0
05,13,1993,6.3
05,14,1993,0.0
05,15,1993,0.0
05,16,1993,0.0
05,17,1993,0.0
05,18,1993,7.5
05,19,1993,0.6
05,20,1993,0.0
05,21,1993,3.0
05,22,1993,0.3
05,23,1993,0.0
05,24,1993,42.5
05,25,1993,30.5
05,26,1993,9.0
05,27,1993,0.0
05,28,1993,0.3
05,29,1993,0.0
05,30,1993,0.0
05,31,1993,0.0
06,01,1993,26.0
06,02,1993,0.0
06,03,1993,0.0
06,04,1993,0.0
06,05,1993,2.3
06,06,1993,0.0
06,07,1993,3.9
06,08,1993,1.2
06,09,1993,0.0
06,10,1993,14.5
06,11,1993,9.2
06,12,1993,55.8
06,13,1993,8.0
06,14,1993,76.5
06,15,1993,34.4
06,16,1993,0.0
06,17,1993,0.0
06,18,1993,0.0
06,19,1993,0.0
06,20,1993,28.0
06,21,1993,49.5
06,22,1993,43.5
06,23,1993,68.0
06,24,1993,56.5
06,25,1993,75.0
06,26,1993,11.9
06,27,1993,62.9
06,28,1993,18.8
06,29,1993,19.0
06,30,1993,0.0
07,01,1993,19.8
07,02,1993,52.3
07,03,1993,12.2
07,04,1993,17.3
07,05,1993,0.5
07,06,1993,64.0
07,07,1993,4.2
07,08,1993,7.0
07,09,1993,10.0
07,10,1993,15.0
07,11,1993,15.5
07,12,1993,1.5
07,13,1993,0.0
07,14,1993,0.0
07,15,1993,0.0
07,16,1993,0.0
07,17,1993,0.0
07,18,1993,1.4
07,19,1993,0.0
07,20,1993,0.0
07,21,1993,0.0
07,22,1993,0.0
07,23,1993,0.0
07,24,1993,0.0
07,25,1993,0.0
07,26,1993,0.0
07,27,1993,0.0
07,28,1993,0.0
07,29,1993,0.0
07,30,1993,3.0
07,31,1993,null
08,01,1993,0.0
08,02,1993,0.0
08,03,1993,0.0
08,04,1993,0.0
08,05,1993,11.4
08,06,1993,0.0
08,07,1993,0.0
08,08,1993,0.0
08,09,1993,12.8
08,10,1993,0.0
08,11,1993,0.0
08,12,1993,3.5
08,13,1993,0.0
08,14,1993,0.2
08,15,1993,0.0
08,16,1993,0.0
08,17,1993,0.0
08,18,1993,3.4
08,19,1993,1.0
08,20,1993,21.5
08,21,1993,1.8
08,22,1993,50.2
08,23,1993,0.0
08,24,1993,0.0
08,25,1993,114.0
08,26,1993,0.0
08,27,1993,0.0
08,28,1993,0.0
08,29,1993,0.0
08,30,1993,0.4
08,31,1993,40.8
