Id:,5028
Estación:,PRESA DE GUADALUPE-COAH
Posición:,25.7588888889N -103.050833333W
Variable:,Temp Promedio (oC)
Fecha Inicial:,07/01/1965
Fecha Final:,09/01/2009
No Dato:,nan
Mes,Día,Anio,Datos
07,01,1965,24.25
07,02,1965,27.25
07,03,1965,27.25
07,04,1965,24.5
07,05,1965,24.0
07,06,1965,30.0
07,07,1965,28.25
07,08,1965,27.5
07,09,1965,28.75
07,10,1965,26.25
07,11,1965,29.25
07,12,1965,29.25
07,13,1965,27.75
07,14,1965,28.5
07,15,1965,25.5
07,16,1965,27.0
07,17,1965,25.65
07,18,1965,21.75
07,19,1965,28.25
07,20,1965,27.5
07,21,1965,27.0
07,22,1965,27.75
07,23,1965,27.75
07,24,1965,27.5
07,25,1965,26.25
07,26,1965,27.75
07,27,1965,26.75
07,28,1965,26.5
07,29,1965,24.95
07,30,1965,26.75
07,31,1965,25.5
08,01,1965,24.25
08,02,1965,27.0
08,03,1965,29.0
08,04,1965,25.0
08,05,1965,23.0
08,06,1965,25.25
08,07,1965,23.5
08,08,1965,25.0
08,09,1965,22.5
08,10,1965,24.0
08,11,1965,23.25
08,12,1965,21.75
08,13,1965,22.0
08,14,1965,23.5
08,15,1965,24.25
08,16,1965,24.25
08,17,1965,24.0
08,18,1965,24.25
08,19,1965,23.75
08,20,1965,22.0
08,21,1965,21.75
08,22,1965,24.0
08,23,1965,23.0
08,24,1965,24.0
08,25,1965,23.75
08,26,1965,24.5
08,27,1965,24.5
08,28,1965,21.75
08,29,1965,23.0
08,30,1965,24.5
08,31,1965,25.25
09,01,1965,22.75
09,02,1965,23.5
09,03,1965,24.0
09,04,1965,24.5
09,05,1965,25.0
09,06,1965,24.25
09,07,1965,24.0
09,08,1965,23.75
09,09,1965,23.75
09,10,1965,23.25
09,11,1965,23.5
09,12,1965,23.75
09,13,1965,23.75
09,14,1965,24.0
09,15,1965,23.75
09,16,1965,25.0
09,17,1965,23.0
09,18,1965,23.75
09,19,1965,24.0
09,20,1965,24.5
09,21,1965,26.75
09,22,1965,23.5
09,23,1965,22.0
09,24,1965,20.25
09,25,1965,16.5
09,26,1965,17.75
09,27,1965,18.0
09,28,1965,19.75
09,29,1965,23.5
09,30,1965,22.25
10,01,1965,22.75
10,02,1965,17.5
10,03,1965,17.25
10,04,1965,15.75
10,05,1965,16.5
10,06,1965,21.5
10,07,1965,17.75
10,08,1965,18.75
10,09,1965,20.25
10,10,1965,20.25
10,11,1965,20.0
10,12,1965,19.0
10,13,1965,20.0
10,14,1965,20.0
10,15,1965,20.0
10,16,1965,20.25
10,17,1965,20.0
10,18,1965,18.0
10,19,1965,18.75
10,20,1965,18.75
10,21,1965,15.75
10,22,1965,12.5
10,23,1965,17.25
10,24,1965,16.5
10,25,1965,14.75
10,26,1965,15.0
10,27,1965,14.0
10,28,1965,13.5
10,29,1965,12.0
10,30,1965,14.0
10,31,1965,11.75
11,01,1965,12.0
11,02,1965,15.25
11,03,1965,15.25
11,04,1965,18.0
11,05,1965,16.5
11,06,1965,17.0
11,07,1965,18.5
11,08,1965,18.75
11,09,1965,16.5
11,10,1965,18.0
11,11,1965,15.25
11,12,1965,14.25
11,13,1965,17.0
11,14,1965,15.5
11,15,1965,18.5
11,16,1965,17.5
11,17,1965,17.75
11,18,1965,17.5
11,19,1965,17.0
11,20,1965,16.5
11,21,1965,17.0
11,22,1965,17.0
11,23,1965,16.75
11,24,1965,16.75
11,25,1965,19.0
11,26,1965,19.25
11,27,1965,15.5
11,28,1965,15.5
11,29,1965,10.75
11,30,1965,8.75
12,01,1965,12.75
12,02,1965,10.0
12,03,1965,10.0
12,04,1965,10.35
12,05,1965,8.0
12,06,1965,11.25
12,07,1965,10.75
12,08,1965,14.75
12,09,1965,13.5
12,10,1965,16.25
12,11,1965,18.5
12,12,1965,12.75
12,13,1965,13.75
12,14,1965,12.75
12,15,1965,11.25
12,16,1965,12.5
12,17,1965,11.0
12,18,1965,13.5
12,19,1965,6.5
12,20,1965,5.25
12,21,1965,6.5
12,22,1965,9.25
12,23,1965,13.25
12,24,1965,8.5
12,25,1965,5.5
12,26,1965,10.75
12,27,1965,11.0
12,28,1965,6.75
12,29,1965,11.25
12,30,1965,12.0
12,31,1965,11.5
01,01,1966,13.5
01,02,1966,14.0
01,03,1966,5.75
01,04,1966,5.75
01,05,1966,9.0
01,06,1966,10.0
01,07,1966,12.5
01,08,1966,10.75
01,09,1966,14.0
01,10,1966,13.5
01,11,1966,13.0
01,12,1966,12.5
01,13,1966,9.5
01,14,1966,7.0
01,15,1966,8.5
01,16,1966,8.5
01,17,1966,9.25
01,18,1966,7.0
01,19,1966,13.75
01,20,1966,12.25
01,21,1966,14.0
01,22,1966,4.5
01,23,1966,3.0
01,24,1966,4.5
01,25,1966,11.5
01,26,1966,8.75
01,27,1966,8.5
01,28,1966,9.0
01,29,1966,9.0
01,30,1966,9.0
01,31,1966,12.0
02,01,1966,12.25
02,02,1966,11.5
02,03,1966,10.75
02,04,1966,11.5
02,05,1966,15.0
02,06,1966,16.65
02,07,1966,15.25
02,08,1966,17.25
02,09,1966,14.5
02,10,1966,14.25
02,11,1966,14.75
02,12,1966,12.25
02,13,1966,11.5
02,14,1966,9.0
02,15,1966,17.0
02,16,1966,14.5
02,17,1966,12.25
02,18,1966,13.0
02,19,1966,12.5
02,20,1966,13.0
02,21,1966,16.25
02,22,1966,13.5
02,23,1966,7.0
02,24,1966,9.5
02,25,1966,14.5
02,26,1966,15.0
02,27,1966,16.5
02,28,1966,12.5
03,01,1966,16.0
03,02,1966,18.75
03,03,1966,21.25
03,04,1966,14.5
03,05,1966,11.0
03,06,1966,11.5
03,07,1966,13.25
03,08,1966,14.75
03,09,1966,16.0
03,10,1966,17.25
03,11,1966,19.5
03,12,1966,19.5
03,13,1966,18.75
03,14,1966,20.25
03,15,1966,20.25
03,16,1966,21.5
03,17,1966,21.5
03,18,1966,21.5
03,19,1966,22.5
03,20,1966,23.75
03,21,1966,23.25
03,22,1966,22.0
03,23,1966,16.25
03,24,1966,13.0
03,25,1966,12.25
03,26,1966,19.25
03,27,1966,17.5
03,28,1966,19.25
03,29,1966,18.5
03,30,1966,18.75
03,31,1966,19.75
04,01,1966,21.25
04,02,1966,18.75
04,03,1966,21.0
04,04,1966,20.75
04,05,1966,20.0
04,06,1966,20.5
04,07,1966,21.5
04,08,1966,23.75
04,09,1966,22.75
04,10,1966,19.0
04,11,1966,23.5
04,12,1966,24.0
04,13,1966,22.0
04,14,1966,21.25
04,15,1966,20.0
04,16,1966,22.25
04,17,1966,22.25
04,18,1966,22.25
04,19,1966,24.0
04,20,1966,22.75
04,21,1966,25.5
04,22,1966,24.5
04,23,1966,25.25
04,24,1966,26.75
04,25,1966,20.75
04,26,1966,21.75
04,27,1966,23.5
04,28,1966,24.75
04,29,1966,25.0
04,30,1966,27.75
05,01,1966,21.75
05,02,1966,22.0
05,03,1966,21.75
05,04,1966,18.75
05,05,1966,18.75
05,06,1966,19.5
05,07,1966,21.0
