Id:,26052
Estación:,MAZATAN-SON
Posición:,29.0036111111N -110.135555556W
Variable:,Temp Promedio (oC)
Fecha Inicial:,01/01/1961
Fecha Final:,12/01/2011
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1961,16.0
01,02,1961,17.0
01,03,1961,17.9
01,04,1961,15.2
01,05,1961,19.8
01,06,1961,15.0
01,07,1961,14.95
01,08,1961,19.3
01,09,1961,21.7
01,10,1961,21.3
01,11,1961,17.5
01,12,1961,22.3
01,13,1961,19.0
01,14,1961,17.75
01,15,1961,18.65
01,16,1961,21.0
01,17,1961,20.45
01,18,1961,20.0
01,19,1961,17.8
01,20,1961,15.75
01,21,1961,16.35
01,22,1961,17.55
01,23,1961,17.3
01,24,1961,17.75
01,25,1961,16.85
01,26,1961,18.1
01,27,1961,16.0
01,28,1961,14.85
01,29,1961,17.0
01,30,1961,20.0
01,31,1961,19.0
02,01,1961,17.7
02,02,1961,18.75
02,03,1961,18.5
02,04,1961,17.0
02,05,1961,12.25
02,06,1961,14.7
02,07,1961,15.3
02,08,1961,16.55
02,09,1961,16.5
02,10,1961,19.0
02,11,1961,21.2
02,12,1961,17.3
02,13,1961,21.25
02,14,1961,18.5
02,15,1961,19.35
02,16,1961,18.5
02,17,1961,15.25
02,18,1961,16.2
02,19,1961,11.25
02,20,1961,14.5
02,21,1961,19.5
02,22,1961,17.6
02,23,1961,14.35
02,24,1961,16.0
02,25,1961,20.0
02,26,1961,18.2
02,27,1961,16.5
02,28,1961,17.25
03,01,1961,19.15
03,02,1961,20.0
03,03,1961,17.3
03,04,1961,17.0
03,05,1961,17.3
03,06,1961,17.5
03,07,1961,17.5
03,08,1961,20.8
03,09,1961,23.5
03,10,1961,21.55
03,11,1961,18.55
03,12,1961,20.55
03,13,1961,20.9
03,14,1961,20.5
03,15,1961,19.5
03,16,1961,19.9
03,17,1961,17.75
03,18,1961,16.0
03,19,1961,15.9
03,20,1961,18.65
03,21,1961,20.0
03,22,1961,21.0
03,23,1961,22.0
03,24,1961,20.0
03,25,1961,16.8
03,26,1961,18.3
03,27,1961,17.8
03,28,1961,18.5
03,29,1961,16.5
03,30,1961,17.25
03,31,1961,18.0
04,01,1961,20.0
04,02,1961,21.0
04,03,1961,21.9
04,04,1961,21.5
04,05,1961,21.35
04,06,1961,22.1
04,07,1961,18.85
04,08,1961,19.25
04,09,1961,21.0
04,10,1961,20.1
04,11,1961,19.65
04,12,1961,21.8
04,13,1961,21.6
04,14,1961,20.55
04,15,1961,22.85
04,16,1961,23.5
04,17,1961,24.5
04,18,1961,25.0
04,19,1961,22.95
04,20,1961,23.1
04,21,1961,24.0
04,22,1961,23.95
04,23,1961,24.5
04,24,1961,20.5
04,25,1961,21.0
04,26,1961,20.3
04,27,1961,22.0
04,28,1961,24.0
04,29,1961,21.0
04,30,1961,24.2
05,01,1961,25.5
05,02,1961,25.75
05,03,1961,24.35
05,04,1961,22.4
05,05,1961,21.5
05,06,1961,22.25
05,07,1961,21.95
05,08,1961,24.0
05,09,1961,25.3
05,10,1961,26.5
05,11,1961,26.65
05,12,1961,23.65
05,13,1961,20.65
05,14,1961,24.75
05,15,1961,24.6
05,16,1961,24.6
05,17,1961,26.15
05,18,1961,26.5
05,19,1961,26.5
05,20,1961,27.9
05,21,1961,27.45
05,22,1961,26.5
05,23,1961,27.2
05,24,1961,25.85
05,25,1961,27.35
05,26,1961,26.7
05,27,1961,27.5
05,28,1961,27.2
05,29,1961,26.5
05,30,1961,27.8
05,31,1961,27.5
06,01,1961,27.0
06,02,1961,27.3
06,03,1961,26.4
06,04,1961,25.8
06,05,1961,26.7
06,06,1961,27.4
06,07,1961,27.0
06,08,1961,27.0
06,09,1961,28.25
06,10,1961,28.0
06,11,1961,29.0
06,12,1961,30.35
