Id:,7165
Estación:,TUXTLA GUTIERREZ (OBS)-CHIS
Posición:,16.75N -93.1355555556W
Variable:,Temp Promedio (oC)
Fecha Inicial:,01/01/1980
Fecha Final:,08/01/2010
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1980,22.75
01,02,1980,21.5
01,03,1980,22.25
01,04,1980,21.25
01,05,1980,22.5
01,06,1980,21.75
01,07,1980,22.75
01,08,1980,23.75
01,09,1980,22.25
01,10,1980,25.0
01,11,1980,26.25
01,12,1980,25.25
01,13,1980,24.0
01,14,1980,24.75
01,15,1980,24.75
01,16,1980,24.5
01,17,1980,25.5
01,18,1980,25.0
01,19,1980,25.5
01,20,1980,25.5
01,21,1980,24.0
01,22,1980,26.5
01,23,1980,21.75
01,24,1980,20.0
01,25,1980,21.25
01,26,1980,23.0
01,27,1980,25.25
01,28,1980,24.5
01,29,1980,26.5
01,30,1980,26.5
01,31,1980,25.5
02,01,1980,22.0
02,02,1980,21.0
02,03,1980,22.0
02,04,1980,23.0
02,05,1980,24.25
02,06,1980,23.5
02,07,1980,21.5
02,08,1980,24.75
02,09,1980,23.5
02,10,1980,21.75
02,11,1980,23.25
02,12,1980,24.75
02,13,1980,26.75
02,14,1980,26.25
02,15,1980,26.0
02,16,1980,26.25
02,17,1980,25.0
02,18,1980,24.0
02,19,1980,25.75
02,20,1980,27.0
02,21,1980,27.0
02,22,1980,28.75
02,23,1980,29.5
02,24,1980,28.5
02,25,1980,26.5
02,26,1980,20.75
02,27,1980,20.0
02,28,1980,23.0
02,29,1980,28.0
03,01,1980,26.5
03,02,1980,18.0
03,03,1980,20.0
03,04,1980,23.25
03,05,1980,26.5
03,06,1980,24.25
03,07,1980,26.5
03,08,1980,28.25
03,09,1980,27.5
03,10,1980,29.0
03,11,1980,29.75
03,12,1980,30.0
03,13,1980,27.0
03,14,1980,24.75
03,15,1980,28.75
03,16,1980,29.0
03,17,1980,28.75
03,18,1980,28.25
03,19,1980,26.75
03,20,1980,27.5
03,21,1980,28.5
03,22,1980,28.5
03,23,1980,27.25
03,24,1980,28.25
03,25,1980,30.0
03,26,1980,31.75
03,27,1980,30.5
03,28,1980,30.5
03,29,1980,31.0
03,30,1980,30.25
03,31,1980,30.75
04,01,1980,28.75
04,02,1980,31.25
04,03,1980,31.25
04,04,1980,29.0
04,05,1980,29.75
04,06,1980,30.0
04,07,1980,29.25
04,08,1980,29.75
04,09,1980,25.75
04,10,1980,27.5
04,11,1980,27.75
04,12,1980,28.0
04,13,1980,27.25
04,14,1980,22.0
04,15,1980,22.25
04,16,1980,23.5
04,17,1980,26.5
04,18,1980,26.25
04,19,1980,24.0
04,20,1980,23.25
04,21,1980,22.5
04,22,1980,25.25
04,23,1980,27.5
04,24,1980,30.0
04,25,1980,28.75
04,26,1980,28.75
04,27,1980,24.75
04,28,1980,26.0
04,29,1980,27.75
04,30,1980,29.75
05,01,1980,31.0
05,02,1980,30.25
05,03,1980,31.0
05,04,1980,31.5
05,05,1980,29.0
05,06,1980,31.0
05,07,1980,29.25
05,08,1980,29.75
05,09,1980,31.25
05,10,1980,28.75
05,11,1980,31.75
05,12,1980,31.5
05,13,1980,30.25
