Id:,11068
Estación:,SAN LUIS DE LA PAZ-GTO
Posición:,20.6330555556N -100.999722222W
Variable:,Temp Promedio (oC)
Fecha Inicial:,08/01/1924
Fecha Final:,04/01/2013
No Dato:,nan
Mes,Día,Anio,Datos
08,01,1924,null
08,02,1924,null
08,03,1924,null
08,04,1924,null
08,05,1924,null
08,06,1924,null
08,07,1924,null
08,08,1924,null
08,09,1924,null
08,10,1924,null
08,11,1924,null
08,12,1924,null
08,13,1924,null
08,14,1924,null
08,15,1924,null
08,16,1924,null
08,17,1924,null
08,18,1924,19.5
08,19,1924,18.5
08,20,1924,20.0
08,21,1924,19.0
08,22,1924,18.5
08,23,1924,19.5
08,24,1924,18.0
08,25,1924,17.0
08,26,1924,17.5
08,27,1924,18.5
08,28,1924,19.0
08,29,1924,20.0
08,30,1924,18.75
08,31,1924,18.5
09,01,1924,19.0
09,02,1924,19.5
09,03,1924,20.0
09,04,1924,19.0
09,05,1924,15.0
09,06,1924,16.5
09,07,1924,19.0
09,08,1924,18.0
09,09,1924,18.0
09,10,1924,16.5
09,11,1924,17.5
09,12,1924,18.0
09,13,1924,18.0
09,14,1924,18.0
09,15,1924,16.0
09,16,1924,18.0
09,17,1924,17.5
09,18,1924,22.0
09,19,1924,22.0
09,20,1924,21.5
09,21,1924,14.0
09,22,1924,16.0
09,23,1924,17.5
09,24,1924,18.0
09,25,1924,15.25
09,26,1924,19.5
09,27,1924,19.0
09,28,1924,17.5
09,29,1924,14.0
09,30,1924,10.5
10,01,1924,16.5
10,02,1924,11.5
10,03,1924,17.5
10,04,1924,13.5
10,05,1924,18.5
10,06,1924,17.0
10,07,1924,14.5
10,08,1924,16.5
10,09,1924,15.0
10,10,1924,15.5
10,11,1924,13.5
10,12,1924,15.0
10,13,1924,16.0
10,14,1924,15.0
10,15,1924,16.5
10,16,1924,20.5
10,17,1924,15.0
10,18,1924,13.5
10,19,1924,12.0
10,20,1924,14.0
10,21,1924,19.0
10,22,1924,16.0
10,23,1924,17.0
10,24,1924,14.0
10,25,1924,16.0
10,26,1924,12.5
10,27,1924,15.5
10,28,1924,16.5
10,29,1924,15.5
10,30,1924,13.5
10,31,1924,12.5
11,01,1924,16.5
11,02,1924,16.5
11,03,1924,16.0
11,04,1924,14.0
11,05,1924,14.0
11,06,1924,16.5
11,07,1924,17.0
11,08,1924,17.0
11,09,1924,15.0
11,10,1924,14.0
11,11,1924,16.0
11,12,1924,16.5
11,13,1924,18.5
11,14,1924,15.0
11,15,1924,15.5
11,16,1924,14.0
11,17,1924,10.5
11,18,1924,13.0
11,19,1924,10.5
11,20,1924,13.5
11,21,1924,14.0
11,22,1924,16.0
11,23,1924,9.5
11,24,1924,15.0
11,25,1924,10.5
11,26,1924,8.0
11,27,1924,14.5
11,28,1924,13.0
11,29,1924,14.0
11,30,1924,11.5
12,01,1924,12.5
12,02,1924,15.5
12,03,1924,14.5
12,04,1924,12.5
12,05,1924,12.5
12,06,1924,15.0
12,07,1924,18.0
12,08,1924,13.5
12,09,1924,14.0
12,10,1924,16.0
12,11,1924,13.5
12,12,1924,11.5
12,13,1924,12.5
12,14,1924,14.0
12,15,1924,15.5
12,16,1924,17.0
12,17,1924,16.5
12,18,1924,13.0
12,19,1924,15.0
12,20,1924,16.5
12,21,1924,11.0
12,22,1924,12.0
12,23,1924,7.5
12,24,1924,16.0
12,25,1924,15.5
12,26,1924,10.5
12,27,1924,13.5
12,28,1924,15.5
12,29,1924,14.0
12,30,1924,14.5
12,31,1924,10.0
01,01,1925,11.0
01,02,1925,11.0
01,03,1925,11.0
01,04,1925,15.5
01,05,1925,13.0
01,06,1925,16.0
01,07,1925,14.5
01,08,1925,15.0
01,09,1925,17.0
01,10,1925,14.0
01,11,1925,12.0
01,12,1925,12.0
01,13,1925,11.5
01,14,1925,12.5
01,15,1925,13.0
01,16,1925,13.0
01,17,1925,13.5
01,18,1925,10.5
01,19,1925,13.0
01,20,1925,15.0
01,21,1925,14.5
01,22,1925,8.0
01,23,1925,10.5
01,24,1925,6.5
01,25,1925,11.0
01,26,1925,12.5
01,27,1925,14.5
01,28,1925,12.5
01,29,1925,12.5
01,30,1925,11.5
01,31,1925,13.0
02,01,1925,14.0
02,02,1925,16.0
02,03,1925,13.0
02,04,1925,12.0
02,05,1925,13.5
02,06,1925,14.0
02,07,1925,18.0
02,08,1925,16.5
02,09,1925,14.0
02,10,1925,12.5
02,11,1925,14.0
02,12,1925,5.0
02,13,1925,8.5
02,14,1925,13.5
02,15,1925,13.5
02,16,1925,13.5
02,17,1925,16.0
02,18,1925,13.5
02,19,1925,15.0
02,20,1925,17.0
02,21,1925,18.0
02,22,1925,15.0
02,23,1925,16.5
02,24,1925,18.0
02,25,1925,17.5
02,26,1925,19.5
02,27,1925,17.0
02,28,1925,16.0
03,01,1925,16.5
03,02,1925,16.5
03,03,1925,11.0
03,04,1925,15.5
03,05,1925,16.0
03,06,1925,14.0
03,07,1925,15.5
03,08,1925,15.5
03,09,1925,15.5
03,10,1925,18.5
03,11,1925,18.0
03,12,1925,19.0
03,13,1925,18.5
03,14,1925,18.5
03,15,1925,18.0
03,16,1925,13.5
03,17,1925,15.5
03,18,1925,16.5
03,19,1925,17.5
03,20,1925,16.5
03,21,1925,13.0
03,22,1925,15.75
03,23,1925,15.0
03,24,1925,16.0
03,25,1925,15.5
03,26,1925,15.5
03,27,1925,20.0
03,28,1925,16.0
03,29,1925,17.5
03,30,1925,18.0
03,31,1925,19.0
04,01,1925,21.0
04,02,1925,19.5
04,03,1925,19.0
04,04,1925,21.0
04,05,1925,18.0
04,06,1925,19.0
04,07,1925,20.5
04,08,1925,21.0
04,09,1925,20.5
04,10,1925,20.5
04,11,1925,20.0
04,12,1925,19.5
04,13,1925,21.0
04,14,1925,18.0
04,15,1925,20.0
04,16,1925,16.0
04,17,1925,15.0
04,18,1925,15.5
