Id:,20208
Estación:,SAN JUAN COPALA-OAX
Posición:,17.1830555556N -97.9827777778W
Variable:,Temp Promedio (oC)
Fecha Inicial:,12/01/1972
Fecha Final:,07/01/1985
No Dato:,nan
Mes,Día,Anio,Datos
12,01,1972,null
12,02,1972,19.25
12,03,1972,20.0
12,04,1972,19.0
12,05,1972,19.75
12,06,1972,17.5
12,07,1972,18.25
12,08,1972,19.5
12,09,1972,18.75
12,10,1972,18.5
12,11,1972,18.5
12,12,1972,17.5
12,13,1972,18.5
12,14,1972,18.25
12,15,1972,19.25
12,16,1972,18.25
12,17,1972,17.75
12,18,1972,17.25
12,19,1972,18.5
12,20,1972,17.25
12,21,1972,17.25
12,22,1972,17.0
12,23,1972,16.75
12,24,1972,17.5
12,25,1972,17.0
12,26,1972,16.75
12,27,1972,16.75
12,28,1972,17.5
12,29,1972,16.5
12,30,1972,16.75
12,31,1972,16.75
01,01,1973,17.0
01,02,1973,17.5
01,03,1973,17.25
01,04,1973,18.25
01,05,1973,18.75
01,06,1973,18.75
01,07,1973,19.0
01,08,1973,19.0
01,09,1973,17.5
01,10,1973,17.5
01,11,1973,18.25
01,12,1973,17.5
01,13,1973,18.0
01,14,1973,17.0
01,15,1973,17.75
01,16,1973,16.25
01,17,1973,16.75
01,18,1973,18.25
01,19,1973,17.75
01,20,1973,16.75
01,21,1973,16.25
01,22,1973,16.0
01,23,1973,15.25
01,24,1973,16.75
01,25,1973,17.75
01,26,1973,16.5
01,27,1973,17.75
01,28,1973,17.75
01,29,1973,18.0
01,30,1973,15.0
01,31,1973,16.75
02,01,1973,16.25
02,02,1973,18.25
02,03,1973,17.5
02,04,1973,18.5
02,05,1973,18.0
02,06,1973,19.5
02,07,1973,18.25
02,08,1973,18.5
02,09,1973,17.0
02,10,1973,16.25
02,11,1973,17.5
02,12,1973,18.75
02,13,1973,19.25
02,14,1973,18.5
02,15,1973,17.25
02,16,1973,17.25
02,17,1973,17.75
02,18,1973,17.75
02,19,1973,18.75
02,20,1973,17.0
02,21,1973,19.75
02,22,1973,18.75
02,23,1973,17.75
02,24,1973,18.0
02,25,1973,19.25
02,26,1973,20.0
02,27,1973,19.0
02,28,1973,20.0
03,01,1973,19.75
03,02,1973,19.25
03,03,1973,18.5
03,04,1973,18.75
03,05,1973,20.25
03,06,1973,19.0
03,07,1973,19.0
03,08,1973,19.0
03,09,1973,18.0
03,10,1973,18.5
03,11,1973,17.75
03,12,1973,18.75
03,13,1973,18.75
03,14,1973,18.25
03,15,1973,18.25
03,16,1973,17.25
03,17,1973,19.0
03,18,1973,20.25
03,19,1973,18.75
03,20,1973,18.5
03,21,1973,18.0
03,22,1973,19.75
03,23,1973,20.0
03,24,1973,17.5
03,25,1973,18.5
03,26,1973,18.0
03,27,1973,20.0
03,28,1973,17.5
03,29,1973,19.75
03,30,1973,17.0
03,31,1973,18.75
04,01,1973,18.5
04,02,1973,20.5
04,03,1973,18.25
04,04,1973,18.25
04,05,1973,18.5
04,06,1973,21.5
04,07,1973,19.25
04,08,1973,19.0
04,09,1973,19.25
04,10,1973,17.5
04,11,1973,18.75
04,12,1973,17.25
04,13,1973,18.5
04,14,1973,18.5
04,15,1973,20.0
04,16,1973,18.5
04,17,1973,20.0
04,18,1973,19.75
04,19,1973,19.25
04,20,1973,20.0
04,21,1973,20.75
04,22,1973,20.5
04,23,1973,21.0
04,24,1973,18.75
04,25,1973,19.75
04,26,1973,19.25
04,27,1973,20.0
04,28,1973,20.25
04,29,1973,20.25
04,30,1973,21.5
05,01,1973,20.75
05,02,1973,21.5
05,03,1973,21.25
05,04,1973,20.75
05,05,1973,20.5
05,06,1973,20.5
05,07,1973,19.75
05,08,1973,20.5
05,09,1973,21.0
05,10,1973,20.75
05,11,1973,21.0
05,12,1973,20.25
05,13,1973,20.25
05,14,1973,20.5
05,15,1973,19.75
05,16,1973,19.75
05,17,1973,19.25
05,18,1973,18.75
05,19,1973,18.75
05,20,1973,19.0
05,21,1973,18.5
05,22,1973,19.75
05,23,1973,19.0
05,24,1973,20.0
05,25,1973,18.5
05,26,1973,17.5
05,27,1973,19.25
05,28,1973,19.0
05,29,1973,18.75
05,30,1973,18.5
05,31,1973,19.0
06,01,1973,18.5
06,02,1973,18.25
06,03,1973,19.0
06,04,1973,20.25
06,05,1973,18.25
06,06,1973,19.75
06,07,1973,19.0
06,08,1973,18.75
06,09,1973,19.0
06,10,1973,18.5
06,11,1973,19.5
06,12,1973,19.25
06,13,1973,19.25
06,14,1973,19.25
06,15,1973,18.5
06,16,1973,19.0
06,17,1973,19.0
06,18,1973,19.5
06,19,1973,19.5
06,20,1973,18.25
06,21,1973,19.0
06,22,1973,18.75
06,23,1973,19.25
06,24,1973,18.0
06,25,1973,19.0
06,26,1973,19.5
06,27,1973,18.25
06,28,1973,17.25
06,29,1973,17.75
06,30,1973,18.75
07,01,1973,18.0
07,02,1973,18.75
07,03,1973,19.0
07,04,1973,19.0
07,05,1973,19.25
07,06,1973,19.75
07,07,1973,18.0
07,08,1973,17.0
07,09,1973,16.5
07,10,1973,19.0
07,11,1973,18.0
07,12,1973,18.75
07,13,1973,16.0
07,14,1973,18.25
07,15,1973,19.0
07,16,1973,19.5
07,17,1973,19.0
07,18,1973,20.0
07,19,1973,20.5
07,20,1973,20.0
07,21,1973,20.0
07,22,1973,16.75
07,23,1973,17.0
07,24,1973,18.5
07,25,1973,19.0
07,26,1973,18.5
07,27,1973,17.5
07,28,1973,17.75
07,29,1973,19.25
07,30,1973,18.75
07,31,1973,17.5
08,01,1973,18.5
08,02,1973,18.75
08,03,1973,17.75
08,04,1973,17.25
08,05,1973,17.25
08,06,1973,17.5
08,07,1973,18.25
08,08,1973,17.5
08,09,1973,19.0
08,10,1973,17.75
08,11,1973,18.25
08,12,1973,18.25
08,13,1973,18.5
08,14,1973,18.0
08,15,1973,18.75
08,16,1973,18.75
08,17,1973,18.25
