Id:,24139
Estación:,TAMUIN (DGE)-SLP
Posición:,22.0769444444N -98.8133333333W
Variable:,Temp Promedio (oC)
Fecha Inicial:,07/01/1974
Fecha Final:,01/01/2011
No Dato:,nan
Mes,Día,Anio,Datos
07,01,1974,null
07,02,1974,null
07,03,1974,null
07,04,1974,22.75
07,05,1974,23.25
07,06,1974,23.75
07,07,1974,25.5
07,08,1974,26.75
07,09,1974,25.5
07,10,1974,25.25
07,11,1974,26.25
07,12,1974,23.25
07,13,1974,23.5
07,14,1974,24.5
07,15,1974,25.75
07,16,1974,26.25
07,17,1974,26.5
07,18,1974,23.75
07,19,1974,25.75
07,20,1974,26.0
07,21,1974,26.25
07,22,1974,26.25
07,23,1974,26.5
07,24,1974,26.75
07,25,1974,27.25
07,26,1974,27.75
07,27,1974,28.25
07,28,1974,26.75
07,29,1974,27.0
07,30,1974,28.0
07,31,1974,26.75
08,01,1974,26.25
08,02,1974,27.0
08,03,1974,27.0
08,04,1974,26.5
08,05,1974,26.5
08,06,1974,26.5
08,07,1974,27.25
08,08,1974,27.75
08,09,1974,27.25
08,10,1974,27.5
08,11,1974,28.25
08,12,1974,28.25
08,13,1974,27.25
08,14,1974,27.25
08,15,1974,27.5
08,16,1974,27.75
08,17,1974,26.5
08,18,1974,27.0
08,19,1974,26.25
08,20,1974,27.75
08,21,1974,27.0
08,22,1974,27.5
08,23,1974,26.25
08,24,1974,26.5
08,25,1974,26.75
08,26,1974,27.25
08,27,1974,28.75
08,28,1974,28.25
08,29,1974,28.0
08,30,1974,28.5
08,31,1974,28.75
09,01,1974,28.5
09,02,1974,28.0
09,03,1974,28.0
09,04,1974,27.5
09,05,1974,24.75
09,06,1974,25.25
09,07,1974,23.75
09,08,1974,25.75
09,09,1974,25.5
09,10,1974,23.25
09,11,1974,25.5
09,12,1974,28.5
09,13,1974,27.25
09,14,1974,25.0
09,15,1974,25.5
09,16,1974,27.0
09,17,1974,27.25
09,18,1974,26.0
09,19,1974,25.5
09,20,1974,27.0
09,21,1974,23.75
09,22,1974,23.0
09,23,1974,24.0
09,24,1974,27.25
09,25,1974,null
09,26,1974,null
09,27,1974,null
09,28,1974,null
09,29,1974,26.25
09,30,1974,26.75
10,01,1974,27.0
10,02,1974,26.5
10,03,1974,27.0
10,04,1974,26.0
10,05,1974,26.25
10,06,1974,27.25
10,07,1974,26.0
10,08,1974,24.25
10,09,1974,24.0
10,10,1974,24.0
10,11,1974,23.5
10,12,1974,23.75
10,13,1974,24.75
