Id:,15183
Estación:,EL ORO-MEX
Posición:,19.8091666667N -100.118611111W
Variable:,Temp Promedio (oC)
Fecha Inicial:,10/01/1971
Fecha Final:,04/01/2012
No Dato:,nan
Mes,Día,Anio,Datos
10,01,1971,11.5
10,02,1971,13.0
10,03,1971,12.5
10,04,1971,13.0
10,05,1971,13.0
10,06,1971,12.5
10,07,1971,12.0
10,08,1971,13.5
10,09,1971,13.5
10,10,1971,12.5
10,11,1971,12.5
10,12,1971,12.5
10,13,1971,11.5
10,14,1971,11.0
10,15,1971,13.0
10,16,1971,13.0
10,17,1971,14.0
10,18,1971,12.0
10,19,1971,14.0
10,20,1971,12.5
10,21,1971,12.25
10,22,1971,12.0
10,23,1971,12.0
10,24,1971,12.5
10,25,1971,13.5
10,26,1971,16.0
10,27,1971,12.5
10,28,1971,13.5
10,29,1971,12.0
10,30,1971,10.5
10,31,1971,11.0
11,01,1971,11.25
11,02,1971,11.5
11,03,1971,9.5
11,04,1971,9.5
11,05,1971,11.5
11,06,1971,11.0
11,07,1971,10.0
11,08,1971,11.5
11,09,1971,12.0
11,10,1971,13.0
11,11,1971,11.0
11,12,1971,9.5
11,13,1971,10.0
11,14,1971,10.5
11,15,1971,11.5
11,16,1971,12.5
11,17,1971,12.5
11,18,1971,11.5
11,19,1971,12.5
11,20,1971,12.0
11,21,1971,12.0
11,22,1971,12.5
11,23,1971,12.0
11,24,1971,12.5
11,25,1971,10.5
11,26,1971,10.0
11,27,1971,11.0
11,28,1971,12.0
11,29,1971,12.0
11,30,1971,11.5
12,01,1971,12.0
12,02,1971,11.5
12,03,1971,10.5
12,04,1971,10.5
12,05,1971,10.0
12,06,1971,10.5
12,07,1971,11.5
12,08,1971,11.0
12,09,1971,10.5
12,10,1971,10.5
12,11,1971,12.5
12,12,1971,12.0
12,13,1971,11.5
12,14,1971,10.0
12,15,1971,10.5
12,16,1971,11.5
12,17,1971,12.0
12,18,1971,10.5
12,19,1971,11.5
12,20,1971,12.0
12,21,1971,10.5
12,22,1971,11.0
12,23,1971,11.0
12,24,1971,9.0
12,25,1971,9.5
12,26,1971,8.0
12,27,1971,8.0
12,28,1971,10.5
12,29,1971,10.0
12,30,1971,11.0
12,31,1971,11.0
01,01,1972,10.0
01,02,1972,11.0
01,03,1972,10.0
01,04,1972,9.0
01,05,1972,10.5
01,06,1972,11.0
01,07,1972,11.5
01,08,1972,10.0
